,word,x,y
549,Oleh,0.5609498,-1.6793673
550,membunuh,-0.7261134,-0.20513882
551,balasnya,-0.88259715,0.53959405
552,tujuh,-1.6662707,-0.08554466
553,kali,0.09976905,-0.50093293
554,ganda,-1.6700506,-0.09296267
555,diadakan,0.33963218,0.8148549
556,kain,0.6087347,0.7083762
557,dibunuh,0.002616692,-0.32608083
558,undurlah,-0.22428855,0.22365145
559,diamlah,1.1343817,-0.94062
560,Nod,0.77124304,0.5814817
561,Henokh,1.4939147,-0.89612
562,diperbuatlah,0.35854942,0.9142893
563,sebuah,1.0173186,0.058594994
564,negeri,0.01694308,0.1364176
565,menurut,-0.02218593,0.018135205
566,anaknya,0.42911494,1.1217471
567,Irad,-1.6049088,-0.6232562
568,Metusael,-1.1463811,1.3736497
569,Lamekh,-0.015826494,0.032269564
570,dua,1.7220732,0.505078
571,Ada,0.5143129,1.1900185
572,Zila,-0.27221608,0.24485403
573,Yabal,-0.5756052,-1.0699813
574,bapa,-0.55842817,-0.01629737
575,mendiami,-1.7033539,-0.31903833
576,kemah,0.84341115,0.49537128
577,memeliharakan,-0.8629531,0.938551
578,lembu,0.9783905,0.35495895
579,Yubal,1.6773032,-0.73286986
580,bermain,-0.7092483,-1.593591
581,kecapi,1.2724702,-1.2918926
582,muri,-0.25942603,0.8936993
583,Tubal,1.7425121,0.27259207
584,tukang,0.98476833,1.3985567
585,menempa,-1.7008259,0.233039
586,perkakas,0.3960263,-1.3165462
587,tembaga,1.1053979,0.21109276
588,dam,0.9343088,0.25191987
589,besi,1.1487808,-0.82476306
590,Dengarlah,-0.1975617,0.5409122
591,perkataanku,0.82876086,0.26368237
592,hai,-1.6745086,0.05102178
593,bini,0.25393608,0.52053106
594,kubunuh,0.01914358,-0.020674072
595,lukaku,-0.75039536,1.6073346
596,mudapun,0.8448376,1.5411574
597,kiranya,1.1783227,-0.8124421
598,dibelai,1.4342532,1.0122143
599,puluh,-0.38224334,0.06933171
600,Adampun,1.8028173,-0.14548063
601,Set,-0.34500787,0.31565708
602,menentukan,0.71558577,-1.1123159
603,benih,0.39920563,-0.6708377
604,lain,0.036606908,-0.0055586686
605,ganti,-1.118668,-0.04925878
606,Enos,-0.48133138,-1.0318971
607,mulai,0.7694048,1.5636834
608,sembahyang,1.4730345,-0.21409927
609,Nama,0.35699415,0.016768437
610,inilah,0.3163642,-0.97782135
611,surat,-0.24574898,-0.110500045
612,anak,0.046394546,-5.6760073e-06
613,cucu,-0.8240563,-0.83564883
614,diberkatinya,-0.8416482,0.28445688
615,seratus,-0.38608405,-0.49181828
616,tiga,-0.4487999,0.50128835
617,serupa,0.28462872,1.6432008
618,umurnya,-1.5587835,-0.7395342
619,delapan,0.38324687,-0.6765987
620,ratus,1.4172161,0.9556484
621,panjang,-1.1745977,0.39476565
622,sekalian,0.38866892,-0.92851704
623,sembilan,0.019861756,0.45841154
624,matilah,1.3280319,-0.486643
625,lima,-0.17966877,-0.64906853
626,belas,1.3750217,0.44355723
627,Kenan,0.29736423,0.17322096
628,Mahalalel,-1.0282854,-0.37950787
629,sepuluh,-1.6939522,0.2193799
630,enam,-0.16763958,-0.85640824
631,Yered,1.0015285,-0.6006342
632,Metusalah,0.36073607,0.39262027
633,tiadalah,0.018426586,-0.32351092
634,diangkat,0.3408627,-0.08992997
635,Nuh,-0.6802989,-0.32100454
636,Inilah,1.4142497,-1.1625632
637,menghiburkan,-0.22440255,0.93044114
638,kita,0.04647735,-1.2089331e-05
639,kelelahan,0.5204488,0.76590616
640,kesakitan,0.19269314,0.11710649
641,tangan,0.15185606,-1.2927336
642,dilaknatkan,0.898275,-0.27607775
643,kemudian,0.90530014,0.25531718
644,Sem,-0.055657294,-0.16097113
645,Ham,-0.7902165,0.17761153
646,Yafet,-0.7246183,-0.21311358
647,banyak,0.046392344,-1.30697335e-05
648,makin,1.0293626,0.04238836
649,elok,-0.5130945,0.5506885
650,parasnya,-0.019226182,1.7375079
651,diambilnyalah,0.73182255,-0.8283454
652,disukainya,0.20491101,0.73057187
653,berbantah,0.4629747,-0.34952185
654,bantah,1.5198913,0.8654049
655,hawa,1.7732176,0.07745603
656,nafsu,-1.072241,-0.36300963
657,tinggal,-0.8006835,-0.8512391
658,zaman,0.76776886,-1.0519338
659,tinggi,-0.19871008,0.23389132
660,dunia,-0.003584684,0.86068875
661,bersetubuh,1.0588717,1.3545533
662,gagah,-0.13463628,-0.39115807
663,termasyhur,-0.38507107,-0.46985462
664,dahulukala,0.49479982,-0.33474138
665,kejahatan,0.8260812,-0.22903259
666,terlampau,1.7987342,-0.39062226
667,sediakala,1.0466108,-0.13734557
668,akal,-0.9532324,0.34967515
669,pikiran,1.473873,-0.21354492
670,hatinya,0.38929063,-0.72070444
671,semata,0.3051459,0.387919
672,bersesallah,-1.4140358,0.9464004
673,mendukacitakan,-0.17588705,-0.30605206
674,hati,-1.1263481,0.26578143
675,membinasakan,0.28847995,0.71973836
676,Kujadikan,0.064927146,-0.041520387
677,berkaki,0.029462384,-0.0084220255
678,melata,0.0333602,-0.006115162
679,Tetapi,0.38357344,-1.3729291
680,mendapat,1.0692624,-0.7698188
681,karunia,1.2608286,1.1578503
682,benar,0.046389204,-4.416226e-06
683,tulus,1.6105634,-0.8344749
684,zamannya,0.4325538,0.17668875
685,UT,-0.9035562,0.47874236
686,rusaklah,0.24218096,1.1851761
687,hadapan,-1.079555,-0.24735215
688,penuh,0.35756525,0.89528924
689,penggagahan,-0.08275099,1.2686734
690,ditilik,-0.6851303,-0.009894632
691,merusakkan,-0.10481697,-0.24391237
692,jalannya,-1.5568086,-0.72859204
693,datang,0.046389207,-1.3055689e-05
694,dipenuhinya,-0.2320856,-0.55913776
695,Perbuatlah,0.18502988,0.1303954
696,dirimu,1.1112394,0.85637766
697,bahtera,-0.23940118,-0.13857983
698,kayu,-0.008455537,0.38885
699,gofir,0.36732692,-0.060179144
700,memperbuatkan,0.5921848,-1.6666424
701,bilik,-0.25519106,-0.55872244
702,gala,1.7097671,0.5188308
